# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,182,45,52,60,76,66,481
State_1,61,22,26,28,16,19,172
State_2,35,9,9,4,6,4,67
State_3,12050,6874,1118,1092,5701,4906,31741
State_4,4695,1824,489,351,1276,1041,9676
State_5,1828,510,234,262,911,1381,5126
State_6,717,337,320,330,2051,2021,5776
State_7,1944,374,244,258,1638,1449,5907
State_8,815,309,603,406,2178,3575,7886
State_9,276,181,346,233,257,248,1541
State_10,526,286,1100,578,865,793,4148
State_11,172,48,103,84,115,78,600
State_12,1757,738,1664,1166,6880,4542,16747
State_13,923,644,2962,698,4954,5364,15545
State_14,1022,808,2183,1397,3737,3418,12565
State_15,620,223,327,336,440,577,2523
State_16,833,621,557,1487,2319,1594,7411
State_17,1060,928,6389,2979,6959,11363,29678
State_18,911,951,1448,944,2113,1871,8238
State_19,2947,2793,9174,3503,13150,11098,42665
State_20,1558,899,2892,1415,2606,2602,11972
State_21,1474,586,706,370,780,1108,5024
State_22,924,427,2570,1659,2199,2093,9872
State_23,1478,272,418,393,392,861,3814
State_24,6,0,1,0,3,2,12
State_25,81,11,5,5,8,11,121
State_26,294,44,114,133,76,31,692
Total,39189,20764,36054,20171,61706,62116,240000
